name,latitude,longitude,update_timestamp
Ang Mo Kio,1.375,103.839,2023-08-21 20:05:48.981603
Bedok,1.321,103.924,2023-08-21 20:05:48.981603
Bishan,1.350772,103.839,2023-08-21 20:05:48.981603
Boon Lay,1.304,103.701,2023-08-21 20:05:48.981603
Bukit Batok,1.353,103.754,2023-08-21 20:05:48.981603
Bukit Merah,1.277,103.819,2023-08-21 20:05:48.981603
Bukit Panjang,1.362,103.77195,2023-08-21 20:05:48.981603
Bukit Timah,1.325,103.791,2023-08-21 20:05:48.981603
Central Water Catchment,1.38,103.805,2023-08-21 20:05:48.981603
Changi,1.357,103.987,2023-08-21 20:05:48.981603
Choa Chu Kang,1.377,103.745,2023-08-21 20:05:48.981603
Clementi,1.315,103.76,2023-08-21 20:05:48.981603
City,1.292,103.844,2023-08-21 20:05:48.981603
Geylang,1.318,103.884,2023-08-21 20:05:48.981603
Hougang,1.361218,103.886,2023-08-21 20:05:48.981603
Jalan Bahar,1.347,103.67,2023-08-21 20:05:48.981603
Jurong East,1.326,103.737,2023-08-21 20:05:48.981603
Jurong Island,1.266,103.699,2023-08-21 20:05:48.981603
Jurong West,1.34039,103.705,2023-08-21 20:05:48.981603
Kallang,1.312,103.862,2023-08-21 20:05:48.981603
Lim Chu Kang,1.423,103.717332,2023-08-21 20:05:48.981603
Mandai,1.419,103.812,2023-08-21 20:05:48.981603
Marine Parade,1.297,103.891,2023-08-21 20:05:48.981603
Novena,1.327,103.826,2023-08-21 20:05:48.981603
Pasir Ris,1.37,103.948,2023-08-21 20:05:48.981603
Paya Lebar,1.358,103.914,2023-08-21 20:05:48.981603
Pioneer,1.315,103.675,2023-08-21 20:05:48.981603
Pulau Tekong,1.403,104.053,2023-08-21 20:05:48.981603
Pulau Ubin,1.404,103.96,2023-08-21 20:05:48.981603
Punggol,1.401,103.904,2023-08-21 20:05:48.981603
Queenstown,1.291,103.78576,2023-08-21 20:05:48.981603
Seletar,1.404,103.869,2023-08-21 20:05:48.981603
Sembawang,1.445,103.818495,2023-08-21 20:05:48.981603
Sengkang,1.384,103.891443,2023-08-21 20:05:48.981603
Sentosa,1.243,103.832,2023-08-21 20:05:48.981603
Serangoon,1.357,103.865,2023-08-21 20:05:48.981603
Southern Islands,1.208,103.842,2023-08-21 20:05:48.981603
Sungei Kadut,1.413,103.756,2023-08-21 20:05:48.981603
Tampines,1.345,103.944,2023-08-21 20:05:48.981603
Tanglin,1.308,103.813,2023-08-21 20:05:48.981603
Tengah,1.374,103.715,2023-08-21 20:05:48.981603
Toa Payoh,1.334304,103.856327,2023-08-21 20:05:48.981603
Tuas,1.294947,103.635,2023-08-21 20:05:48.981603
Western Islands,1.205926,103.746,2023-08-21 20:05:48.981603
Western Water Catchment,1.405,103.689,2023-08-21 20:05:48.981603
Woodlands,1.432,103.786528,2023-08-21 20:05:48.981603
Yishun,1.418,103.839,2023-08-21 20:05:48.981603
